id,code_insee2,commune_arrivee,code_insee1,commune_depart,migration,X1,Y1,X2,Y2,année,population_2014_1,population_2014_2,categorie_1,categorie_2,is_PSN_1,is_PSN_2
225,33063,Bordeaux,75113,Paris 13e  Arrondissement,104,2,49,-1.0,45.0,2014.0,182318,246586,capitale,metropole,1,0
226,33063,Bordeaux,75114,Paris 14e  Arrondissement,109,2,49,-1.0,45.0,2014.0,141230,246586,capitale,metropole,1,0
227,83137,Toulon,13001,Aix-en-Provence,136,5,44,6.0,43.0,2014.0,142149,165584,grande ville,grande ville,0,0
228,83137,Toulon,87085,Limoges,278,1,46,6.0,43.0,2014.0,134577,165584,grande ville,grande ville,0,0
229,83137,Toulon,29019,Brest,203,-5,48,6.0,43.0,2014.0,139384,165584,grande ville,grande ville,0,0
230,83137,Toulon,83069,Hyères,293,6,43,6.0,43.0,2014.0,56502,165584,grande ville,grande ville,0,0
231,83137,Toulon,83144,La Valette-du-Var,306,6,43,6.0,43.0,2014.0,22271,165584,moyenne ville,grande ville,0,0
232,83137,Toulon,83047,La Crau,115,6,43,6.0,43.0,2014.0,16749,165584,petite ville,grande ville,0,0
233,83137,Toulon,83126,La Seyne-sur-Mer,628,6,43,6.0,43.0,2014.0,64675,165584,grande ville,grande ville,0,0
234,83137,Toulon,83129,Six-Fours-les-Plages,132,6,43,6.0,43.0,2014.0,33652,165584,moyenne ville,grande ville,0,0
235,83137,Toulon,83090,Ollioules,174,6,43,6.0,43.0,2014.0,13167,165584,petite ville,grande ville,0,0
236,83137,Toulon,83062,La Garde,323,6,43,6.0,43.0,2014.0,25145,165584,moyenne ville,grande ville,0,0
237,83137,Toulon,83098,Le Pradet,128,6,43,6.0,43.0,2014.0,10564,165584,petite ville,grande ville,0,0
238,83137,Toulon,83130,Solliès-Pont,128,6,43,6.0,43.0,2014.0,11133,165584,petite ville,grande ville,0,0
239,84089,Pertuis,13001,Aix-en-Provence,200,5,44,6.0,44.0,2014.0,142149,19523,grande ville,petite ville,0,0
240,11069,Carcassonne,31555,Toulouse,224,1,44,2.0,43.0,2014.0,466297,45941,metropole,moyenne ville,0,0
241,13001,Aix-en-Provence,31555,Toulouse,188,1,44,5.0,44.0,2014.0,466297,142149,metropole,grande ville,0,0
242,13001,Aix-en-Provence,34172,Montpellier,235,4,44,5.0,44.0,2014.0,275318,142149,metropole,grande ville,0,0
243,13001,Aix-en-Provence,75115,Paris 15e  Arrondissement,105,2,49,5.0,44.0,2014.0,235366,142149,capitale,grande ville,1,0
244,13001,Aix-en-Provence,83137,Toulon,158,6,43,5.0,44.0,2014.0,165584,142149,grande ville,grande ville,0,0
245,13001,Aix-en-Provence,13015,Bouc-Bel-Air,203,5,43,5.0,44.0,2014.0,14097,142149,petite ville,grande ville,0,0
246,13001,Aix-en-Provence,13032,Éguilles,159,5,44,5.0,44.0,2014.0,7579,142149,petite ville,grande ville,0,0
247,13001,Aix-en-Provence,13041,Gardanne,147,5,43,5.0,44.0,2014.0,19910,142149,petite ville,grande ville,0,0
248,13001,Aix-en-Provence,13056,Martigues,144,5,43,5.0,44.0,2014.0,48870,142149,moyenne ville,grande ville,0,0
249,13001,Aix-en-Provence,13059,Meyrargues,159,6,44,5.0,44.0,2014.0,3738,142149,village et bourg,grande ville,0,0
250,13001,Aix-en-Provence,13103,Salon-de-Provence,150,5,44,5.0,44.0,2014.0,44187,142149,moyenne ville,grande ville,0,0
251,13001,Aix-en-Provence,13113,Venelles,101,5,44,5.0,44.0,2014.0,8349,142149,petite ville,grande ville,0,0
252,13001,Aix-en-Provence,84089,Pertuis,125,6,44,5.0,44.0,2014.0,19523,142149,petite ville,grande ville,0,0
